Country,Total medals,Population,GDP,GDP (in $B),Population (in M),Total medals per 1M capita,Total medals per $1B GDP,Per capita GDP (in $),Total medals per capita GDP
United States,126,"328,239,523","$21,427,700,000,000 ",21427.7,328.239523,0.38386602213043064,0.0058802391297246084,65280.682241303395,1.930126887066741
China,91,"1,397,715,000","$19,910,000,000,000 ",19910.0,1397.715,0.06510626272165643,0.004570567553992968,14244.677920749224,6.388350828729282
Japan,45,"126,226,568","$5,081,769,542,380 ",5081.76954238,126.226568,0.35650181030034817,0.008855183145303489,40259.112030836484,1.117759377443105
Australia,53,"25,766,605","$1,392,680,589,329 ",1392.680589329,25.766605,2.0569260094606956,0.0380561059054723,54049.82881248811,0.980576648704472
France,64,"67,059,887","$2,715,518,274,227 ",2715.518274227,67.059887,0.954370829762955,0.023568245004065846,40493.928572038894,1.5804838467609703
Netherlands,34,"17,332,850","$909,070,395,161 ",909.070395161,17.33285,1.9615931598092637,0.03740084396212074,52447.83143920359,0.6482632182688445
United Kingdom,65,"66,834,405","$2,827,113,184,696 ",2827.113184696,66.834405,0.9725529837514076,0.022991651113179416,42300.26712583138,1.536633322116934
South Korea,32,"51,709,098","$2,029,000,000,000 ",2029.0,51.709098,0.6188466099331301,0.015771315919172007,39238.74286107254,0.8155205204534252
Italy,40,"60,297,396","$2,001,244,392,042 ",2001.244392042,60.297396,0.6633785644739949,0.019987563817323376,33189.56579886137,1.2051980505684192
Germany,33,"83,132,799","$3,845,630,030,824 ",3845.630030824,83.132799,0.39695523784781983,0.008581168686403542,46258.8782897109,0.7133765715918797
New Zealand,20,"4,841,000","$206,928,765,544 ",206.928765544,4.841,4.131377814501136,0.09665161799724423,42745.04555752943,0.4678904827246593
Canada,27,"36,991,981","$1,736,425,629,520 ",1736.42562952,36.991981,0.7298879181409613,0.015549183069512518,46940.59584210967,0.5751950846729288
Uzbekistan,13,"33,580,650","$57,921,286,440 ",57.92128644,33.58065,0.38712770598544105,0.22444252880098842,1724.841134403295,7.536926004780911
Hungary,19,"9,769,949","$160,967,157,504 ",160.967157504,9.769949,1.9447389131713992,0.11803650070374047,16475.741838979917,1.1532105920140086
Spain,18,"47,076,781","$1,394,116,310,769 ",1394.116310769,47.076781,0.3823540951111335,0.012911404780904637,29613.67113798626,0.6078273752730006
Sweden,11,"10,285,453","$530,832,908,738 ",530.832908738,10.285453,1.0694716119941434,0.020722151582785918,51610.06605523354,0.21313671616362018
Kenya,11,"52,573,973","$95,503,088,538 ",95.503088538,52.573973,0.20922900386470697,0.11517952108557387,1816.5469164371505,6.055445031705892
Norway,8,"5,347,896","$403,336,363,636 ",403.336363636,5.347896,1.4959154029921298,0.01983456172382161,75419.6348687409,0.10607317330457869
Republic of Ireland,7,"5,007,069","$388,698,711,348 ",388.698711348,5.007069,1.3980234744118765,0.01800880681009754,77629.98899116428,0.09017133830582828
Brazil,20,"212,559,417","$1,839,758,040,766 ",1839.758040766,212.559417,0.09409133823508746,0.010870994748675113,8655.264804221777,2.3107323059884437
Iran,12,"82,913,906","$445,345,282,123 ",445.345282123,82.913906,0.14472843674738953,0.026945384809725498,5371.177207873912,2.2341471032474076
Ukraine,12,"44,385,155","$153,781,069,118 ",153.781069118,44.385155,0.27036066450595925,0.07803301192289218,3464.696002931611,3.463507329314417
Romania,9,"19,356,544","$250,077,444,017 ",250.077444017,19.356544,0.4649590340093769,0.035988851515085823,12919.529644186483,0.6966197878612254
Georgia,7,"3,720,382","$17,743,195,770 ",17.74319577,3.720382,1.8815272195167057,0.39451743027237085,4769.18654320981,1.4677555462715837
Belgium,10,"11,484,055","$529,606,710,418 ",529.606710418,11.484055,0.8707725624790198,0.018881935978695117,46116.69923367661,0.21684119128581353
Bulgaria,7,"6,975,761","$86,000,000,000 ",86.0,6.975761,1.0034747463395033,0.08139534883720931,12328.404026456754,0.5677945000000001
Serbia,5,"6,944,975","$51,409,167,351 ",51.409167351,6.944975,0.7199449962022901,0.09725891815874238,7402.354558655718,0.6754607551395119
Czech Republic,5,"10,669,709","$246,489,245,495 ",246.489245495,10.669709,0.4686163418327529,0.02028486066383543,23101.777704996453,0.21643356038867087
Denmark,9,"5,818,553","$348,078,018,464 ",348.078018464,5.818553,1.5467763205044278,0.025856272222288652,59822.09296091314,0.15044609030781428
